; EV[40th European Go Congress 1995 - Main tournament]
; PC[PL, Tuchola]
; DT[1995-07-22,1995-08-05]
;
;Pl  Name                Cy   Gr    1    2    3    4    5    6    7    8    9   10    MM Pt  SOS SODOS
  71 Frederiksen Jan                3D DK  xxx     27     5   268   129     81-    100+     25-      0+     86+     18-     79-     93+     73-      0+
  72 Drouot Paul                    3D FR  xxx     27     5   267   129      0+     64-      0+     31-     63+     37-     85-     98+     38-     91+
  73 Soloviev Iouri                 3D RU  xxx     27     5   266   130      0+     78-     68-      0+     82-      0+     66-     92+     71+     40-
  74 Grzeschniok Anton              3D DE  xxx     27     5   264   129     62-      0+     39-      0+      0+     47-      0-     90-      0+      0+
  75 Schmid Thomas                  2D DE  xxx     27     6   262   155      0+     67-      0+     79+     62-     93-      0+     76-      0+      0+
  76 Sora Sorin-Adrian              2D RO  xxx     27     6   257   152     91-      0-      0-      0+      0+      0+      0+     75+     65+     37-
  77 Pedersen Torben                1D DK  xxx     27     7   256   175      0+      0+     69-     98-      0+      0+      0+     86+     88+     38-
  78 Nijhuis Emil                   4D DE  xxx     27     4   244   105     50-     73+     15-     59-      0+     56-     69-      0=     93+     87+
  79 Lyssyuk Dmitrii                3D UA  xxx     27     5   187   104      0=      0=      0=     75-     97+      0+     71+     27-     63-     89+
  80 Lange Stefan                   4D DE  xxx     27     4   145    57     24+      5-     46+     15-     23-      0=      0=      0=      0=      0=
  81 Wiersma Ruurd                  3D NL  xxx     27     5   141    82     71+     48+      9-     63+     21-      0=      0=      0=      0=      0=
  82 Javurek Jaromir                3D CZ  xxx     27     5   136    80     70+     14-     66-      0+     73+      0=      0=      0=      0=      0=
  83 Konopac Daniel                 3D CZ  xxx     27     5   135    79     37-     89+     40-     93+     64+      0=      0=      0=      0=      0=
  84 Zwiers Richard                 3D NL  xxx     27     5   109    53      0=      0=      0=      0=      0=      0=     48-     94+     69+     44-
  85 Kaper Erik                     4D NL  xxx     27     4    85    27      0=      0=      0=      0=      0=     27-     72+     26-      0=      0=
  86 Nebultsov Ivan                 4D UA  xxx     26     3   269    77     13-     43-      0+     68-     71-     94+     52-     77-     98-      0+
